sku,name,description,brand,available,currency,price,updated_at,image,url,product_raw
s89399483,VIMLE,"4-seat sofa with chaise longue, Gunnared beige",IKEA,True,SEK,9995.0,2026-03-23,https://www.ikea.com/se/en/images/products/vimle-4-seat-sofa-with-chaise-longue-gunnared-beige__0778323_pe758890_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/vimle-4-seat-sofa-with-chaise-longue-gunnared-beige-s89399483/,
s19399033,VIMLE,"3-seat sofa, Gunnared beige",IKEA,True,SEK,5995.0,2026-03-23,https://www.ikea.com/se/en/images/products/vimle-3-seat-sofa-gunnared-beige__0787232_pe763195_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/vimle-3-seat-sofa-gunnared-beige-s19399033/,
s79305418,SÖDERHAMN,"Corner sofa, 4-seat, with open end/Gunnared beige",IKEA,True,SEK,12395.0,2026-03-23,https://www.ikea.com/se/en/images/products/soederhamn-corner-sofa-4-seat-with-open-end-gunnared-beige__0767192_pe754173_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/soederhamn-corner-sofa-4-seat-with-open-end-gunnared-beige-s79305418/,
s39508998,EKTORP,"3-seat sofa, Hakebo dark grey",IKEA,True,SEK,5295.0,2026-03-23,https://www.ikea.com/se/en/images/products/ektorp-3-seat-sofa-hakebo-dark-grey__1194846_pe902096_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/ektorp-3-seat-sofa-hakebo-dark-grey-s39508998/,
s89482830,KIVIK,"3-seat sofa, Tresund light beige",IKEA,True,SEK,5495.0,2026-03-23,https://www.ikea.com/se/en/images/products/kivik-3-seat-sofa-tresund-light-beige__1124110_pe875021_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/kivik-3-seat-sofa-tresund-light-beige-s89482830/,
s39574295,STOCKHOLM 2025,"3-seat sofa, Alhamn dark brown",IKEA,True,SEK,12995.0,2026-03-23,https://www.ikea.com/se/en/images/products/stockholm-2025-3-seat-sofa-alhamn-dark-brown__1424961_ph202998_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/stockholm-2025-3-seat-sofa-alhamn-dark-brown-s39574295/,
s99399109,VIMLE,"3-seat sofa, with chaise longue/Gunnared beige",IKEA,True,SEK,9495.0,2026-03-23,https://www.ikea.com/se/en/images/products/vimle-3-seat-sofa-with-chaise-longue-gunnared-beige__0778309_pe758882_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/vimle-3-seat-sofa-with-chaise-longue-gunnared-beige-s99399109/,
s79305423,SÖDERHAMN,"3-seat sofa, Gunnared beige",IKEA,True,SEK,6395.0,2026-03-23,https://www.ikea.com/se/en/images/products/soederhamn-3-seat-sofa-gunnared-beige__0767195_pe754165_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/soederhamn-3-seat-sofa-gunnared-beige-s79305423/,
s39440475,KIVIK,"Corner sofa, 5-seat, Tibbleby beige/grey",IKEA,True,SEK,10095.0,2026-03-23,https://www.ikea.com/se/en/images/products/kivik-corner-sofa-5-seat-tibbleby-beige-grey__1056105_pe848242_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/kivik-corner-sofa-5-seat-tibbleby-beige-grey-s39440475/,
s39270326,LANDSKRONA,"3-seat sofa, Gunnared light green/wood",IKEA,True,SEK,5795.0,2026-03-23,https://www.ikea.com/se/en/images/products/landskrona-3-seat-sofa-gunnared-light-green-wood__0826895_pe680192_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/landskrona-3-seat-sofa-gunnared-light-green-wood-s39270326/,
40618514,SALTMYRAN,"3-seat sofa, Öreryd grey-beige",IKEA,True,SEK,2295.0,2026-03-23,https://www.ikea.com/se/en/images/products/saltmyran-3-seat-sofa-oereryd-grey-beige__1515115_pe1011242_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/saltmyran-3-seat-sofa-oereryd-grey-beige-40618514/,
30512235,LINANÄS,"3-seat sofa, with chaise longue/Vissle beige",IKEA,True,SEK,3995.0,2026-03-23,https://www.ikea.com/se/en/images/products/linanaes-3-seat-sofa-with-chaise-longue-vissle-beige__1013906_pe829458_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/linanaes-3-seat-sofa-with-chaise-longue-vissle-beige-30512235/,
90586092,STOCKHOLM 2025,"3-seat sofa, Sundhamn beige",IKEA,True,SEK,14995.0,2026-03-23,https://www.ikea.com/se/en/images/products/stockholm-2025-3-seat-sofa-sundhamn-beige__1421377_ph203023_s5.jpg?f=xxs,https://www.ikea.com/se/en/p/stockholm-2025-3-seat-sofa-sundhamn-beige-90586092/,
