sku,chunk_text,semantic_score,category,price_tier
ME76507-B1072-LOVESEATPIT_8029559095466_47620986962090,5-piece corner modular sofa with larger seats.,14,sofa,luxury
ME76507-B1072-PIT_8029532324010_47620985979050,5-piece corner modular sofa with larger seats.,14,sofa,luxury
S7001-G0402190-PIT_8040585986218_47618578972842,6-piece oversized modular sofa with chaise.,14,sofa,luxury
S7001-G0402190-LOVESEATPIT_8036334174378_47618283962538,4-piece oversized modular sofa with chaise.,14,sofa,luxury
SKJ015B-U243022-O_8291500196010_47613709385898,seat firmness: medium.,0,sofa,premium
SKJ015-G0303970-O_8291500196010_47613709353130,seat firmness: medium.,0,sofa,premium
SKJ015-G0303910-O_8291500196010_47613709320362,seat firmness: medium.,0,sofa,premium
SET-SKJ808-G0202320W-3PC-OTTOMAN_8272885842090_47543293051050,free swatches available.,0,sofa,luxury
DC7501-G0402170_8283624112298_47590771392682,multi-function features.,0,chair,high
DC7501-G0402911_8283624112298_47590770049194,multi-function features.,0,chair,high
DC7501-G0402910_8283624112298_47590770016426,multi-function features.,0,chair,high
SET-SKJ808-G0202320W-4PC-CORNER_8272885874858_47543296786602,free swatches available.,0,sofa,luxury
SKJ808-G0202320W-AL-2_8272886202538_47541982986410,free swatches available.,0,sofa,luxury
SET-SKJ808-G0202320W-CORNER-MODULAR_8272885907626_47541562245290,free swatches available.,0,sofa,luxury
SKJ808-G0202320W-C_8272886235306_47538585534634,free swatches available.,0,sofa,luxury
SKJ808-G0202320W-AL_8272886202538_47538582257834,free swatches available.,0,sofa,luxury
SET-SKJ808-G0202320W-3PC_8272885842090_47538580062378,free swatches available.,0,sofa,luxury
SET-SKJ808-G0202320W-2PC_8272885809322_47538579800234,free swatches available.,0,sofa,luxury
SKJ001B-CU6722-AL_8039478624426_47536904437930,oversized armless chair.,14,sofa,premium
SKJ001B-CU6722-O_8037500649642_47536895983786,spacious & versatile ottoman.,10,sofa,high
SKJ015B-U243022-3PC-SOFA_8272885645482_47568989847722,seat firmness: medium.,0,sofa,luxury
SKJ015B-U243022-4PC-MODULAR_8272885711018_47568970711210,seat firmness: medium.,0,sofa,luxury
SKJ015B-U243022-CORNER-MODULAR_8272885743786_47568753754282,5-piece modular sectional (126.,11,sofa,luxury
SKJ015B-U243022-6PC-MODULAR_8272885776554_47568729473194,seat firmness: medium.,0,sofa,luxury
SKJ015B-U243022-AL_8273846468778_47568684056746,seat firmness: medium.,0,sofa,premium
SKJ015B-U243022-C_8273846861994_47568666591402,seat firmness: medium.,0,sofa,luxury
SKJ015B-U243022-2PC-SOFA_8276652523690_47566523465898,seat firmness: medium.,0,sofa,luxury
MEA025-T555010_8277139095722_47555533373610,seat dimension: 20.,0,chair,luxury
SKJ015-G0303970-2PC-SOFA_8276652523690_47554292056234,seat firmness: medium.,0,sofa,luxury
SKJ015-G0303910-2PC-SOFA_8276652523690_47554292023466,seat firmness: medium.,0,sofa,luxury
AC7037-G0402110_8276270547114_47552831979690,seat dimension: 19.,0,chair,premium
AC7037-G0402190_8276270547114_47552831946922,seat dimension: 19.,0,chair,premium
MS708-L1020-3S_8256841285802_47474585075882,seat dimension: 22.,0,sofa,luxury
MS708-U243022-3S_8256841285802_47474585043114,seat dimension: 22.,0,sofa,luxury
DT7203-1800-OAK-DC_8235052171434_47465478619306,heavy-duty build: solid wood base with patented adjustable foot.,0,table,luxury
DT7202-1500-OAK-DC_8235051647146_47465368453290,350-lb table base + 250-lb rated chairs (per seat).,4,table,luxury
DT7201-1190-OAK-DC_8231517356202_47465346007210,heavy-duty build: 350-lb table base + 250-lb rated chairs (per seat).,4,table,luxury
MEA025-CU6722_8277139095722_47555553165482,seat dimension: 20.,0,chair,luxury
MEA025-M1228_8277139095722_47555518103722,seat dimension: 20.,0,chair,luxury
MEA025-U243022_8277139095722_47555518038186,seat dimension: 20.,0,chair,luxury
ME7056B-CU016_8276604944554_47554088566954,tired of husband’s boxy or chunky recliners?,5,chair,luxury
ME7056B-G0402170-Z_7793206132906_47552947224746,tired of husband’s boxy or chunky recliners?,5,chair,luxury
ME7056B-G0402170-M_6956504318122_47552911540394,tired of husband’s boxy or chunky recliners?,5,chair,luxury
SET-SKJ808-G0303920W-4PC-CORNER_8272885874858_47543296721066,free swatches available.,0,sofa,luxury
SKJ015-G0303970-C_8273846861994_47542986375338,seat firmness: medium.,0,sofa,premium
SKJ015-G0303910-C_8273846861994_47542986342570,seat firmness: medium.,0,sofa,premium
SKJ015-G0303970-AL_8273846468778_47542984573098,seat firmness: medium.,0,sofa,premium
SKJ015-G0303910-AL_8273846468778_47542984540330,seat firmness: medium.,0,sofa,premium
SKJ015-G0303970-6PC-MODULAR_8272885776554_47540816576682,seat firmness: medium.,0,sofa,luxury
SKJ015-G0303970-CORNER-MODULAR_8272885743786_47540816412842,5-piece modular sectional (126.,11,sofa,luxury
SKJ015-G0303970-4PC-MODULAR_8272885711018_47540816314538,seat firmness: medium.,0,sofa,luxury
SKJ015-G0303970-3PC-SOFA_8272885645482_47540814839978,seat firmness: medium.,0,sofa,luxury
SKJ015-G0303910-6PC-MODULAR_8272885776554_47538556633258,seat firmness: medium.,0,sofa,luxury
SKJ015-G0303910-CORNER-MODULAR_8272885743786_47538556600490,5-piece modular sectional (126.,11,sofa,luxury
SKJ015-G0303910-4PC-MODULAR_8272885711018_47538556567722,seat firmness: medium.,0,sofa,luxury
SKJ015-G0303910-3PC-SOFA_8272885645482_47538556534954,seat firmness: medium.,0,sofa,luxury
MS301-A0400502-1PS_8272885612714_47538556469418,seat dimension: 23.,0,chair,luxury
SET-SKJ808-G0303970W-4PC-CORNER_8272885874858_47543296753834,free swatches available.,0,sofa,luxury
SET-SKJ808-G0303970W-3PC-OTTOMAN_8272885842090_47543293018282,free swatches available.,0,sofa,luxury
SKJ808-G0303970W-AL-2_8272886202538_47541982953642,free swatches available.,0,sofa,luxury
SKJ808-G0303920W-AL-2_8272886202538_47541982920874,free swatches available.,0,sofa,luxury
SET-SKJ808-G0303970W-CORNER-MODULAR_8272885907626_47541562212522,free swatches available.,0,sofa,luxury
SET-SKJ808-G0303920W-CORNER-MODULAR_8272885907626_47541562179754,free swatches available.,0,sofa,luxury
SET-SKJ808-G0303970W-5PC_8272885907626_47538590482602,free swatches available.,0,sofa,luxury
SET-SKJ808-G0303970W-6PC-BED_8272886104234_47538590253226,free swatches available.,0,sofa,luxury
SKJ808-G0303970W-O_8272886169770_47538589958314,spacious & versatile storage ottoman.,9,sofa,luxury
SKJ808-G0303970W-C_8272886235306_47538585501866,free swatches available.,0,sofa,luxury
SKJ808-G0303970W-AL_8272886202538_47538582225066,free swatches available.,0,sofa,luxury
SET-SKJ808-G0303970W-4PC_8272885874858_47538580193450,free swatches available.,0,sofa,luxury
SET-SKJ808-G0303970W-3PC_8272885842090_47538580029610,free swatches available.,0,sofa,luxury
SET-SKJ808-G0303970W-2PC_8272885809322_47538579767466,free swatches available.,0,sofa,luxury
SKJ808-G0303920W-C_8272886235306_47538557223082,free swatches available.,0,sofa,luxury
SKJ808-G0303920W-AL_8272886202538_47538557190314,free swatches available.,0,sofa,luxury
SKJ808-G0303920W-O_8272886169770_47538557157546,spacious & versatile storage ottoman.,9,sofa,luxury
SET-SKJ808-G0303920W-6PC-BED_8272886104234_47538557092010,free swatches available.,0,sofa,luxury
SET-SKJ808-G0303920W-5PC_8272885907626_47538556829866,free swatches available.,0,sofa,luxury
SET-SKJ808-G0303920W-4PC_8272885874858_47538556731562,free swatches available.,0,sofa,luxury
SET-SKJ808-G0303920W-3PC_8272885842090_47538556698794,free swatches available.,0,sofa,luxury
SET-SKJ808-G0303920W-2PC_8272885809322_47538556666026,free swatches available.,0,sofa,luxury
SKJ001B-CU6722-4PC-MODULAR_8036334174378_47536713334954,4-piece oversized modular sofa with chaise.,14,sofa,luxury
SKJ001B-CU6722-2PC-SOFA_8039473316010_47536682434730,2-piece oversized modular sofa.,11,sofa,premium
BS7079-G0402110_8271202812074_47528077656234,1.,0,chair,premium
BS7079-G0402190_8271202812074_47528077623466,1.,0,chair,premium
BS7079-8023-1_8271202812074_47528077590698,1.,0,chair,premium
