sku,chunk_text,semantic_score,category,price_tier
ME76507-B1072-LOVESEATPIT_8029559095466_47620986962090,5-piece corner modular sofa with larger seats.,14,sofa,luxury
ME76507-B1072-LOVESEATPIT_8029559095466_47620986962090,,,sofa,luxury
ME76507-B1072-LOVESEATPIT_8029559095466_47620986962090,,,sofa,luxury
ME76507-B1072-PIT_8029532324010_47620985979050,5-piece corner modular sofa with larger seats.,14,sofa,luxury
ME76507-B1072-PIT_8029532324010_47620985979050,,,sofa,luxury
ME76507-B1072-PIT_8029532324010_47620985979050,,,sofa,luxury
S7001-G0402190-PIT_8040585986218_47618578972842,6-piece oversized modular sofa with chaise.,14,sofa,luxury
S7001-G0402190-PIT_8040585986218_47618578972842,,,sofa,luxury
S7001-G0402190-PIT_8040585986218_47618578972842,,,sofa,luxury
S7001-G0402190-LOVESEATPIT_8036334174378_47618283962538,4-piece oversized modular sofa with chaise.,14,sofa,luxury
S7001-G0402190-LOVESEATPIT_8036334174378_47618283962538,,,sofa,luxury
S7001-G0402190-LOVESEATPIT_8036334174378_47618283962538,,,sofa,luxury
SKJ015B-U243022-O_8291500196010_47613709385898,,,sofa,premium
SKJ015B-U243022-O_8291500196010_47613709385898,,,sofa,premium
SKJ015B-U243022-O_8291500196010_47613709385898,,,sofa,premium
SKJ015-G0303970-O_8291500196010_47613709353130,,,sofa,premium
SKJ015-G0303970-O_8291500196010_47613709353130,,,sofa,premium
SKJ015-G0303970-O_8291500196010_47613709353130,,,sofa,premium
SKJ015-G0303910-O_8291500196010_47613709320362,,,sofa,premium
SKJ015-G0303910-O_8291500196010_47613709320362,,,sofa,premium
SKJ015-G0303910-O_8291500196010_47613709320362,,,sofa,premium
SET-SKJ808-G0202320W-3PC-OTTOMAN_8272885842090_47543293051050,,,sofa,luxury
SET-SKJ808-G0202320W-3PC-OTTOMAN_8272885842090_47543293051050,,,sofa,luxury
SET-SKJ808-G0202320W-3PC-OTTOMAN_8272885842090_47543293051050,,,sofa,luxury
DC7501-G0402170_8283624112298_47590771392682,,,chair,high
DC7501-G0402170_8283624112298_47590771392682,,,chair,high
DC7501-G0402170_8283624112298_47590771392682,,,chair,high
DC7501-G0402911_8283624112298_47590770049194,,,chair,high
DC7501-G0402911_8283624112298_47590770049194,,,chair,high
DC7501-G0402911_8283624112298_47590770049194,,,chair,high
DC7501-G0402910_8283624112298_47590770016426,,,chair,high
DC7501-G0402910_8283624112298_47590770016426,,,chair,high
DC7501-G0402910_8283624112298_47590770016426,,,chair,high
SET-SKJ808-G0202320W-4PC-CORNER_8272885874858_47543296786602,,,sofa,luxury
SET-SKJ808-G0202320W-4PC-CORNER_8272885874858_47543296786602,,,sofa,luxury
SET-SKJ808-G0202320W-4PC-CORNER_8272885874858_47543296786602,,,sofa,luxury
SKJ808-G0202320W-AL-2_8272886202538_47541982986410,,,sofa,luxury
SKJ808-G0202320W-AL-2_8272886202538_47541982986410,,,sofa,luxury
SKJ808-G0202320W-AL-2_8272886202538_47541982986410,,,sofa,luxury
SET-SKJ808-G0202320W-CORNER-MODULAR_8272885907626_47541562245290,,,sofa,luxury
SET-SKJ808-G0202320W-CORNER-MODULAR_8272885907626_47541562245290,,,sofa,luxury
SET-SKJ808-G0202320W-CORNER-MODULAR_8272885907626_47541562245290,,,sofa,luxury
SKJ808-G0202320W-C_8272886235306_47538585534634,,,sofa,luxury
SKJ808-G0202320W-C_8272886235306_47538585534634,,,sofa,luxury
SKJ808-G0202320W-C_8272886235306_47538585534634,,,sofa,luxury
SKJ808-G0202320W-AL_8272886202538_47538582257834,,,sofa,luxury
SKJ808-G0202320W-AL_8272886202538_47538582257834,,,sofa,luxury
SKJ808-G0202320W-AL_8272886202538_47538582257834,,,sofa,luxury
SET-SKJ808-G0202320W-3PC_8272885842090_47538580062378,,,sofa,luxury
SET-SKJ808-G0202320W-3PC_8272885842090_47538580062378,,,sofa,luxury
SET-SKJ808-G0202320W-3PC_8272885842090_47538580062378,,,sofa,luxury
SET-SKJ808-G0202320W-2PC_8272885809322_47538579800234,,,sofa,luxury
SET-SKJ808-G0202320W-2PC_8272885809322_47538579800234,,,sofa,luxury
SET-SKJ808-G0202320W-2PC_8272885809322_47538579800234,,,sofa,luxury
SKJ001B-CU6722-AL_8039478624426_47536904437930,oversized armless chair.,14,sofa,premium
SKJ001B-CU6722-AL_8039478624426_47536904437930,,,sofa,premium
SKJ001B-CU6722-AL_8039478624426_47536904437930,,,sofa,premium
SKJ001B-CU6722-O_8037500649642_47536895983786,spacious & versatile ottoman.,10,sofa,high
