sku,chunk_text,semantic_score,category,price_tier
ME76507-B1072-LOVESEATPIT_8029559095466_47620986962090,5-piece corner modular sofa with larger seats.,14,sofa,luxury
ME76507-B1072-LOVESEATPIT_8029559095466_47620986962090,30% larger than most counterparts.,0,sofa,luxury
ME76507-B1072-LOVESEATPIT_8029559095466_47620986962090,rearrangeable for any occasion.,0,sofa,luxury
ME76507-B1072-PIT_8029532324010_47620985979050,5-piece corner modular sofa with larger seats.,14,sofa,luxury
ME76507-B1072-PIT_8029532324010_47620985979050,30% larger than most counterparts.,0,sofa,luxury
ME76507-B1072-PIT_8029532324010_47620985979050,rearrangeable for any occasion.,0,sofa,luxury
S7001-G0402190-PIT_8040585986218_47618578972842,6-piece oversized modular sofa with chaise.,14,sofa,luxury
S7001-G0402190-PIT_8040585986218_47618578972842,solid wood plinth base.,0,sofa,luxury
S7001-G0402190-PIT_8040585986218_47618578972842,seat firmness: medium.,0,sofa,luxury
S7001-G0402190-LOVESEATPIT_8036334174378_47618283962538,4-piece oversized modular sofa with chaise.,14,sofa,luxury
S7001-G0402190-LOVESEATPIT_8036334174378_47618283962538,solid wood plinth base.,0,sofa,luxury
S7001-G0402190-LOVESEATPIT_8036334174378_47618283962538,seat firmness: medium.,0,sofa,luxury
SKJ015B-U243022-O_8291500196010_47613709385898,seat firmness: medium.,0,sofa,premium
SKJ015B-U243022-O_8291500196010_47613709385898,cushions are loose with zip-off covers.,-8,sofa,premium
SKJ015B-U243022-O_8291500196010_47613709385898,"the frame support system includes no-sag springs, sustained by flexible elastic webbing.",-9,sofa,premium
SKJ015-G0303970-O_8291500196010_47613709353130,seat firmness: medium.,0,sofa,premium
SKJ015-G0303970-O_8291500196010_47613709353130,cushions are loose with zip-off covers.,-8,sofa,premium
SKJ015-G0303970-O_8291500196010_47613709353130,"the frame support system includes no-sag springs, sustained by flexible elastic webbing.",-9,sofa,premium
SKJ015-G0303910-O_8291500196010_47613709320362,seat firmness: medium.,0,sofa,premium
SKJ015-G0303910-O_8291500196010_47613709320362,cushions are loose with zip-off covers.,-8,sofa,premium
SKJ015-G0303910-O_8291500196010_47613709320362,"the frame support system includes no-sag springs, sustained by flexible elastic webbing.",-9,sofa,premium
SET-SKJ808-G0202320W-3PC-OTTOMAN_8272885842090_47543293051050,free swatches available.,0,sofa,luxury
SET-SKJ808-G0202320W-3PC-OTTOMAN_8272885842090_47543293051050,3 packages.,0,sofa,luxury
SET-SKJ808-G0202320W-3PC-OTTOMAN_8272885842090_47543293051050,seat firmness: soft.,-4,sofa,luxury
DC7501-G0402170_8283624112298_47590771392682,multi-function features.,0,chair,high
DC7501-G0402170_8283624112298_47590771392682,seat dimension: 15.,0,chair,high
DC7501-G0402170_8283624112298_47590771392682,crafted from fsc-certified wood for sustainable style.,-8,chair,high
DC7501-G0402911_8283624112298_47590770049194,multi-function features.,0,chair,high
DC7501-G0402911_8283624112298_47590770049194,seat dimension: 15.,0,chair,high
DC7501-G0402911_8283624112298_47590770049194,crafted from fsc-certified wood for sustainable style.,-8,chair,high
DC7501-G0402910_8283624112298_47590770016426,multi-function features.,0,chair,high
DC7501-G0402910_8283624112298_47590770016426,seat dimension: 15.,0,chair,high
DC7501-G0402910_8283624112298_47590770016426,crafted from fsc-certified wood for sustainable style.,-8,chair,high
SET-SKJ808-G0202320W-4PC-CORNER_8272885874858_47543296786602,free swatches available.,0,sofa,luxury
SET-SKJ808-G0202320W-4PC-CORNER_8272885874858_47543296786602,3 packages.,0,sofa,luxury
SET-SKJ808-G0202320W-4PC-CORNER_8272885874858_47543296786602,seat firmness: soft.,-4,sofa,luxury
SKJ808-G0202320W-AL-2_8272886202538_47541982986410,free swatches available.,0,sofa,luxury
SKJ808-G0202320W-AL-2_8272886202538_47541982986410,seat firmness: soft.,-4,sofa,luxury
SKJ808-G0202320W-AL-2_8272886202538_47541982986410,adaptable modular design: customize your layout with ease.,-8,sofa,luxury
SET-SKJ808-G0202320W-CORNER-MODULAR_8272885907626_47541562245290,free swatches available.,0,sofa,luxury
SET-SKJ808-G0202320W-CORNER-MODULAR_8272885907626_47541562245290,5 packages.,0,sofa,luxury
SET-SKJ808-G0202320W-CORNER-MODULAR_8272885907626_47541562245290,seat firmness: soft.,-4,sofa,luxury
SKJ808-G0202320W-C_8272886235306_47538585534634,free swatches available.,0,sofa,luxury
SKJ808-G0202320W-C_8272886235306_47538585534634,seat firmness: soft.,-4,sofa,luxury
SKJ808-G0202320W-C_8272886235306_47538585534634,adaptable modular design: customize your layout with ease.,-8,sofa,luxury
SKJ808-G0202320W-AL_8272886202538_47538582257834,free swatches available.,0,sofa,luxury
SKJ808-G0202320W-AL_8272886202538_47538582257834,seat firmness: soft.,-4,sofa,luxury
SKJ808-G0202320W-AL_8272886202538_47538582257834,adaptable modular design: customize your layout with ease.,-8,sofa,luxury
SET-SKJ808-G0202320W-3PC_8272885842090_47538580062378,free swatches available.,0,sofa,luxury
SET-SKJ808-G0202320W-3PC_8272885842090_47538580062378,3 packages.,0,sofa,luxury
SET-SKJ808-G0202320W-3PC_8272885842090_47538580062378,seat firmness: soft.,-4,sofa,luxury
SET-SKJ808-G0202320W-2PC_8272885809322_47538579800234,free swatches available.,0,sofa,luxury
SET-SKJ808-G0202320W-2PC_8272885809322_47538579800234,2 packages.,0,sofa,luxury
SET-SKJ808-G0202320W-2PC_8272885809322_47538579800234,seat firmness: soft.,-4,sofa,luxury
SKJ001B-CU6722-AL_8039478624426_47536904437930,oversized armless chair.,14,sofa,premium
SKJ001B-CU6722-AL_8039478624426_47536904437930,solid wood plinth base.,0,sofa,premium
SKJ001B-CU6722-AL_8039478624426_47536904437930,seat firmness: medium.,0,sofa,premium
SKJ001B-CU6722-O_8037500649642_47536895983786,spacious & versatile ottoman.,10,sofa,high
SKJ001B-CU6722-O_8037500649642_47536895983786,solid wood plinth base.,0,sofa,high
SKJ001B-CU6722-O_8037500649642_47536895983786,seat firmness: medium.,0,sofa,high
SKJ015B-U243022-3PC-SOFA_8272885645482_47568989847722,seat firmness: medium.,0,sofa,luxury
SKJ015B-U243022-3PC-SOFA_8272885645482_47568989847722,free swatches available.,0,sofa,luxury
SKJ015B-U243022-3PC-SOFA_8272885645482_47568989847722,4 packages.,0,sofa,luxury
SKJ015B-U243022-4PC-MODULAR_8272885711018_47568970711210,seat firmness: medium.,0,sofa,luxury
SKJ015B-U243022-4PC-MODULAR_8272885711018_47568970711210,free swatches available.,0,sofa,luxury
SKJ015B-U243022-4PC-MODULAR_8272885711018_47568970711210,5 packages.,0,sofa,luxury
SKJ015B-U243022-CORNER-MODULAR_8272885743786_47568753754282,5-piece modular sectional (126.,11,sofa,luxury
SKJ015B-U243022-CORNER-MODULAR_8272885743786_47568753754282,seat firmness: medium.,0,sofa,luxury
SKJ015B-U243022-CORNER-MODULAR_8272885743786_47568753754282,free swatches available.,0,sofa,luxury
SKJ015B-U243022-6PC-MODULAR_8272885776554_47568729473194,seat firmness: medium.,0,sofa,luxury
SKJ015B-U243022-6PC-MODULAR_8272885776554_47568729473194,free swatches available.,0,sofa,luxury
SKJ015B-U243022-6PC-MODULAR_8272885776554_47568729473194,7 packages.,0,sofa,luxury
SKJ015B-U243022-AL_8273846468778_47568684056746,seat firmness: medium.,0,sofa,premium
SKJ015B-U243022-AL_8273846468778_47568684056746,cushions are loose with zip-off covers.,-8,sofa,premium
SKJ015B-U243022-AL_8273846468778_47568684056746,"the frame support system includes no-sag springs, sustained by flexible elastic webbing.",-9,sofa,premium
SKJ015B-U243022-C_8273846861994_47568666591402,seat firmness: medium.,0,sofa,luxury
SKJ015B-U243022-C_8273846861994_47568666591402,cushions are loose with zip-off covers.,-8,sofa,luxury
SKJ015B-U243022-C_8273846861994_47568666591402,"the frame support system includes no-sag springs, sustained by flexible elastic webbing.",-9,sofa,luxury
SKJ015B-U243022-2PC-SOFA_8276652523690_47566523465898,seat firmness: medium.,0,sofa,luxury
SKJ015B-U243022-2PC-SOFA_8276652523690_47566523465898,free swatches available.,0,sofa,luxury
SKJ015B-U243022-2PC-SOFA_8276652523690_47566523465898,3 packages.,0,sofa,luxury
MEA025-T555010_8277139095722_47555533373610,seat dimension: 20.,0,chair,luxury
MEA025-T555010_8277139095722_47555533373610,seat firmness: medium.,0,chair,luxury
MEA025-T555010_8277139095722_47555533373610,weight capacity: 350 lbs.,-8,chair,luxury
SKJ015-G0303970-2PC-SOFA_8276652523690_47554292056234,seat firmness: medium.,0,sofa,luxury
SKJ015-G0303970-2PC-SOFA_8276652523690_47554292056234,free swatches available.,0,sofa,luxury
SKJ015-G0303970-2PC-SOFA_8276652523690_47554292056234,3 packages.,0,sofa,luxury
SKJ015-G0303910-2PC-SOFA_8276652523690_47554292023466,seat firmness: medium.,0,sofa,luxury
SKJ015-G0303910-2PC-SOFA_8276652523690_47554292023466,free swatches available.,0,sofa,luxury
SKJ015-G0303910-2PC-SOFA_8276652523690_47554292023466,3 packages.,0,sofa,luxury
AC7037-G0402110_8276270547114_47552831979690,seat dimension: 19.,0,chair,premium
AC7037-G0402110_8276270547114_47552831979690,seat cushion is fixed.,-8,chair,premium
AC7037-G0402110_8276270547114_47552831979690,back cushion is removable and reversible.,-8,chair,premium
AC7037-G0402190_8276270547114_47552831946922,seat dimension: 19.,0,chair,premium
AC7037-G0402190_8276270547114_47552831946922,seat cushion is fixed.,-8,chair,premium
AC7037-G0402190_8276270547114_47552831946922,back cushion is removable and reversible.,-8,chair,premium
MS708-L1020-3S_8256841285802_47474585075882,seat dimension: 22.,0,sofa,luxury
MS708-L1020-3S_8256841285802_47474585075882,1'.,0,sofa,luxury
MS708-L1020-3S_8256841285802_47474585075882,seat firmness: medium.,0,sofa,luxury
MS708-U243022-3S_8256841285802_47474585043114,seat dimension: 22.,0,sofa,luxury
MS708-U243022-3S_8256841285802_47474585043114,1'.,0,sofa,luxury
MS708-U243022-3S_8256841285802_47474585043114,seat firmness: medium.,0,sofa,luxury
DT7203-1800-OAK-DC_8235052171434_47465478619306,heavy-duty build: solid wood base with patented adjustable foot.,0,table,luxury
DT7203-1800-OAK-DC_8235052171434_47465478619306,no artificial patterns—each table tells its own organic story.,-1,table,luxury
DT7203-1800-OAK-DC_8235052171434_47465478619306,"neutral wood grain harmonizes with scandi, industrial, or farmhouse chairs—always the sophisticated anchor.",-5,table,luxury
DT7202-1500-OAK-DC_8235051647146_47465368453290,350-lb table base + 250-lb rated chairs (per seat).,4,table,luxury
DT7202-1500-OAK-DC_8235051647146_47465368453290,dress it up with linen seats or down with metal stools.,1,table,luxury
DT7202-1500-OAK-DC_8235051647146_47465368453290,no artificial patterns—each table tells its own organic story.,-1,table,luxury
DT7201-1190-OAK-DC_8231517356202_47465346007210,heavy-duty build: 350-lb table base + 250-lb rated chairs (per seat).,4,table,luxury
DT7201-1190-OAK-DC_8231517356202_47465346007210,"finally: elegance without elbow bumps! """,0,table,luxury
DT7201-1190-OAK-DC_8231517356202_47465346007210,glide mechanism works in seconds!,-8,table,luxury
MEA025-CU6722_8277139095722_47555553165482,seat dimension: 20.,0,chair,luxury
MEA025-CU6722_8277139095722_47555553165482,seat firmness: medium.,0,chair,luxury
MEA025-CU6722_8277139095722_47555553165482,weight capacity: 350 lbs.,-8,chair,luxury
MEA025-M1228_8277139095722_47555518103722,seat dimension: 20.,0,chair,luxury
MEA025-M1228_8277139095722_47555518103722,seat firmness: medium.,0,chair,luxury
MEA025-M1228_8277139095722_47555518103722,weight capacity: 350 lbs.,-8,chair,luxury
MEA025-U243022_8277139095722_47555518038186,seat dimension: 20.,0,chair,luxury
MEA025-U243022_8277139095722_47555518038186,seat firmness: medium.,0,chair,luxury
MEA025-U243022_8277139095722_47555518038186,weight capacity: 350 lbs.,-8,chair,luxury
ME7056B-CU016_8276604944554_47554088566954,tired of husband’s boxy or chunky recliners?,5,chair,luxury
ME7056B-CU016_8276604944554_47554088566954,we heard you.,-8,chair,luxury
ME7056B-CU016_8276604944554_47554088566954,engineered wood is epa tsca title vi compliant.,-8,chair,luxury
ME7056B-G0402170-Z_7793206132906_47552947224746,tired of husband’s boxy or chunky recliners?,5,chair,luxury
ME7056B-G0402170-Z_7793206132906_47552947224746,we heard you.,-8,chair,luxury
ME7056B-G0402170-Z_7793206132906_47552947224746,engineered wood is epa tsca title vi compliant.,-8,chair,luxury
ME7056B-G0402170-M_6956504318122_47552911540394,tired of husband’s boxy or chunky recliners?,5,chair,luxury
ME7056B-G0402170-M_6956504318122_47552911540394,we heard you.,-8,chair,luxury
ME7056B-G0402170-M_6956504318122_47552911540394,engineered wood is epa tsca title vi compliant.,-8,chair,luxury
SET-SKJ808-G0303920W-4PC-CORNER_8272885874858_47543296721066,free swatches available.,0,sofa,luxury
SET-SKJ808-G0303920W-4PC-CORNER_8272885874858_47543296721066,3 packages.,0,sofa,luxury
